#enyzme	Aromatic alcohols	Aliphatic alcohols	Aromatic amines	Aliphatic amines	Terpenoids	Flavonoids	Anthocyanins	Phenolic glycosides	Sugar derivatives	Alkaloids
ArHPT1_QAA12830.1	1	0	0	0	0	0	0	0	0	0
AsaHHT1_AB076980	1	0	0	0	0	0	0	0	0	0
AsFMT_JA758320.1	1	0	0	0	0	0	0	0	0	0
At3AT1_NM_100275.3	0	0	0	0	0	1	1	0	0	0
At3AT2_NM_100232.5	0	0	0	0	0	1	1	0	0	0
At5Mat_NM_113880.2	0	0	0	0	0	0	1	0	0	0
AtACT_NM_125509.3	0	0	0	1	0	0	0	0	0	0
AtASFT_HHT1_AY062996.1	0	1	0	0	0	0	0	0	0	0
AtCHAT_AF500201.1	1	1	0	0	1	0	0	0	0	0
AtDCF_BT010448.1	0	1	0	0	0	0	0	0	0	0
AtEPS1_NM_126116.2	1	0	0	0	0	0	0	0	0	0
AtFACT_AY142537.1	0	1	0	0	0	0	0	0	0	0
AtHCT_NM_124270.4	1	0	1	0	0	1	0	0	0	0
AtSCT_BT009686.1	0	0	0	1	0	0	0	0	0	0
AtSDT_NM_127915.2	0	0	0	1	0	0	0	0	0	0
AtSHT_AT2G19070.1	0	0	0	1	0	0	0	0	0	0
AtTHAA1_At5g47980	0	0	0	0	1	0	0	0	0	0
AtTHAA2_At5g47950	0	0	0	0	1	0	0	0	0	0
CbBEAT_AF043464	1	1	0	0	0	0	0	0	0	0
CbBEBT_AF500200	1	0	0	0	0	0	0	0	0	0
Cbra_cGBG71902.1	1	0	0	0	0	0	0	0	0	0
CcaHCT_EF137954.1	1	0	0	0	0	0	0	0	0	0
CcaHQT_EF153931.1	1	0	0	0	0	0	0	0	0	0
CcAT1_AXB26761.1	0	0	0	0	0	1	0	0	0	0
CcAT2_AXB26762.1	0	0	0	0	0	1	0	0	0	0
CcHQT1_AM690438.2	1	0	0	0	0	0	0	0	0	0
CcHQT2_EU839580.1	1	0	0	0	0	0	0	0	0	0
CiHCT1_KT222891.1	1	0	0	0	0	0	0	0	0	0
CiHCT2_KT222892.1	1	0	0	0	0	0	0	0	0	0
CiHQT1_KT222893.1	1	0	0	0	0	0	0	0	0	0
CiHQT2_KT222894.1	1	0	0	0	0	0	0	0	0	0
CiHQT3_KT222895.1	1	0	0	0	0	0	0	0	0	0
CiSHT1_MG457243.1	1	0	0	1	0	0	0	0	0	0
CiSHT2_MG457244.1	1	0	0	1	0	0	0	0	0	0
CmAAT1_CAA94432.1	1	1	0	0	0	0	0	0	0	0
CmAAT3_AY859053	1	1	0	0	0	0	0	0	0	0
CmAAT4_AY859054	1	1	0	0	1	0	0	0	0	0
CrDAT_AF053307	0	0	0	0	0	0	0	0	0	1
CrMAT_AF253415	0	0	0	0	0	0	0	0	0	1
DcHCBT2_Z84386	0	0	1	0	0	0	0	0	0	0
Dm3MAT1_AY298809	0	0	0	0	0	1	1	0	0	0
Dm3MAT2_AY298810	0	0	0	0	0	1	1	0	0	0
Dm3MAT3_AB290338.1	0	0	0	0	0	1	1	0	0	0
Dp3MAT_AF489108	0	0	0	0	0	1	1	0	0	0
EcBAHD8_KC140150.1	0	0	0	0	0	0	0	0	0	1
EcCS_KC140149.1	1	0	0	0	0	0	0	0	0	1
ECHQT_JQ413187.1	1	0	0	0	0	0	0	0	0	0
FaAAT_AF193789	1	1	0	0	1	0	0	0	0	0
FvVAAT_AX025504	1	1	0	0	1	0	0	0	0	0
GmIF7MaT_NM_001250831.1	0	0	0	0	0	1	0	0	0	0
GmIMaT1_KY399789.1	0	0	0	0	0	1	0	0	0	0
